#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
729,7840.490000,0.04912215
730,7840.491000,0.05065501
731,7840.492000,0.05031512
732,7840.493000,0.04888615
733,7840.494000,0.04825938
734,7840.495000,0.04813793
735,7840.496000,0.04796998
736,7840.497000,0.04810257
737,7840.498000,0.04757527
738,7840.499000,0.04632009
739,7840.500000,0.04504037
740,7840.501000,0.0435157
741,7840.502000,0.04265549
742,7840.503000,0.04262177
743,7840.504000,0.04282343
744,7840.505000,0.04353846
745,7840.506000,0.04437974
746,7840.507000,0.04530127
747,7840.508000,0.04675417
748,7840.509000,0.04866151
749,7840.510000,0.04972659
750,7840.511000,0.04989687
751,7840.512000,0.04974969
752,7840.513000,0.048947
753,7840.514000,0.04765751
754,7840.515000,0.04586526
755,7840.516000,0.04421695
756,7840.517000,0.04280297
757,7840.518000,0.04415356
758,7840.519000,0.04875579
759,7840.520000,0.05562343
760,7840.521000,0.06564604
761,7840.522000,0.06622963
762,7840.523000,0.05633102
763,7840.524000,0.05231587
764,7840.525000,0.05177913
765,7840.526000,0.04964887
766,7840.527000,0.0485777
767,7840.528000,0.05029704
768,7840.529000,0.05496342
769,7840.530000,0.05721703
770,7840.531000,0.05720393
771,7840.532000,0.05834694
772,7840.533000,0.05958259
773,7840.534000,0.05850286
774,7840.535000,0.05522972
775,7840.536000,0.05440174
776,7840.537000,0.05584258
777,7840.538000,0.0558646
778,7840.539000,0.05529518
779,7840.540000,0.05632507
780,7840.541000,0.05860827
781,7840.542000,0.05947196
782,7840.543000,0.05909685
783,7840.544000,0.05880001
784,7840.545000,0.05805334
785,7840.546000,0.05774559
786,7840.547000,0.05804728
787,7840.548000,0.05816188
788,7840.549000,0.05831849
789,7840.550000,0.05842176
790,7840.551000,0.05837501
791,7840.552000,0.05842198
792,7840.553000,0.05851511
793,7840.554000,0.05859359
794,7840.555000,0.05868765
795,7840.556000,0.0587914
796,7840.557000,0.05890187
797,7840.558000,0.05887914
798,7840.559000,0.05870882
799,7840.560000,0.05956293
800,7840.561000,0.06150481
801,7840.562000,0.05900446
802,7840.563000,0.05185527
803,7840.564000,0.06785607
804,7840.565000,0.05657176
805,7840.566000,0.05918737
806,7840.567000,0.05897182
807,7840.568000,0.05867825
808,7840.569000,0.05828985
809,7840.570000,0.05778739
810,7840.571000,0.05716263
811,7840.572000,0.06174346
812,7840.573000,0.07206734
813,7840.574000,0.0665282
814,7840.575000,0.04470386
815,7840.576000,0.0453111
816,7840.577000,0.06422888
817,7840.578000,0.06671639
818,7840.579000,0.05769692
819,7840.580000,0.05676243
820,7840.581000,0.05879428
821,7840.582000,0.05836891
822,7840.583000,0.05773492
823,7840.584000,0.05823821
824,7840.585000,0.05954298
825,7840.586000,0.05650976
826,7840.587000,0.05794957
827,7840.588000,0.05757137
828,7840.589000,0.05771507
829,7840.590000,0.05758893
830,7840.591000,0.05708606
831,7840.592000,0.057673
832,7840.593000,0.05932069
833,7840.594000,0.05685156
834,7840.595000,0.05012206
835,7840.596000,0.06483147
836,7840.597000,0.05435066
837,7840.598000,0.05672282
838,7840.599000,0.05648032
839,7840.600000,0.05628842
840,7840.601000,0.05594553
841,7840.602000,0.05605976
842,7840.603000,0.05661568
843,7840.604000,0.05739263
844,7840.605000,0.05852059
845,7840.606000,0.05783905
846,7840.607000,0.05513712
847,7840.608000,0.05154872
848,7840.609000,0.04647021
849,7840.610000,0.05078959
850,7840.611000,0.06558984
851,7840.612000,0.065234
852,7840.613000,0.05074058
853,7840.614000,0.04866444
854,7840.615000,0.0551743
855,7840.616000,0.05560518
856,7840.617000,0.05376524
857,7840.618000,0.05368632
858,7840.619000,0.05365511
859,7840.620000,0.05335974
860,7840.621000,0.05309659
861,7840.622000,0.0528308
862,7840.623000,0.0525617
863,7840.624000,0.05228029
864,7840.625000,0.05198921
865,7840.626000,0.05171572
866,7840.627000,0.05146112
867,7840.628000,0.05104974
868,7840.629000,0.0504747
869,7840.630000,0.05067214
870,7840.631000,0.04997168
871,7840.632000,0.04973169
872,7840.633000,0.04940254
873,7840.634000,0.04906799
874,7840.635000,0.04872376
875,7840.636000,0.04838273
876,7840.637000,0.04804114
877,7840.638000,0.04768467
878,7840.639000,0.04731207
879,7840.640000,0.04692826
880,7840.641000,0.04653136
881,7840.642000,0.04613387
882,7840.643000,0.04573503
883,7840.644000,0.04514643
884,7840.645000,0.04435328
885,7840.646000,0.04503655
886,7840.647000,0.04730559
887,7840.648000,0.04331945
888,7840.649000,0.03281496
889,7840.650000,0.05519751
890,7840.651000,0.03891527
891,7840.652000,0.04249474
892,7840.653000,0.04220173
893,7840.654000,0.0419052
894,7840.655000,0.04160615
895,7840.656000,0.04131188
896,7840.657000,0.04101817
897,7840.658000,0.04078235
898,7840.659000,0.04060998
899,7840.660000,0.0404705
900,7840.661000,0.04037998
901,7840.662000,0.03993643
902,7840.663000,0.03909928
903,7840.664000,0.03807122
904,7840.665000,0.03673784
905,7840.666000,0.03695997
906,7840.667000,0.03891907
907,7840.668000,0.04122453
908,7840.669000,0.04435391
909,7840.670000,0.04134756
910,7840.671000,0.0313783
911,7840.672000,0.02534194
912,7840.673000,0.04122206
913,7840.674000,0.04155986
914,7840.675000,0.03577403
915,7840.676000,0.03502732
916,7840.677000,0.03615435
917,7840.678000,0.03579129
918,7840.679000,0.03535193
919,7840.680000,0.03510313
920,7840.681000,0.03478936
921,7840.682000,0.03458833
922,7840.683000,0.03451243
923,7840.684000,0.03448892
924,7840.685000,0.03455516
925,7840.686000,0.03413283
926,7840.687000,0.03316573
927,7840.688000,0.03196078
928,7840.689000,0.03034732
929,7840.690000,0.0312717
930,7840.691000,0.03502164
931,7840.692000,0.0346729
932,7840.693000,0.03049658
933,7840.694000,0.02969734
934,7840.695000,0.03124068
935,7840.696000,0.03115054
936,7840.697000,0.03046277
937,7840.698000,0.03025414
938,7840.699000,0.03006256
939,7840.700000,0.02981424
940,7840.701000,0.02958734
941,7840.702000,0.02935308
942,7840.703000,0.02911472
943,7840.704000,0.02887508
944,7840.705000,0.028632
945,7840.706000,0.02839597
946,7840.707000,0.02816951
947,7840.708000,0.02794109
948,7840.709000,0.0277148
949,7840.710000,0.02746614
950,7840.711000,0.02719049
951,7840.712000,0.02690137
952,7840.713000,0.02659122
953,7840.714000,0.02627273
954,7840.715000,0.02594752
955,7840.716000,0.02559846
956,7840.717000,0.02522199
