#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
684,7840.445000,0.08746719
685,7840.446000,0.08544254
686,7840.447000,0.0834198
687,7840.448000,0.08137321
688,7840.449000,0.07931995
689,7840.450000,0.07720852
690,7840.451000,0.07503319
691,7840.452000,0.07283497
692,7840.453000,0.07060719
693,7840.454000,0.06902695
694,7840.455000,0.06817245
695,7840.456000,0.06771851
696,7840.457000,0.06786442
697,7840.458000,0.06822205
698,7840.459000,0.06877995
699,7840.460000,0.06991577
700,7840.461000,0.07156372
701,7840.462000,0.07321072
702,7840.463000,0.07487392
703,7840.464000,0.07676411
704,7840.465000,0.07876587
705,7840.466000,0.08129215
706,7840.467000,0.08437538
707,7840.468000,0.08772564
708,7840.469000,0.09144497
709,7840.470000,0.0950737
710,7840.471000,0.09854317
711,7840.472000,0.1021481
712,7840.473000,0.1057539
713,7840.474000,0.1095676
714,7840.475000,0.113616
715,7840.476000,0.1176739
716,7840.477000,0.1217899
717,7840.478000,0.1264114
718,7840.479000,0.1315536
719,7840.480000,0.1370249
720,7840.481000,0.1429434
721,7840.482000,0.1489897
722,7840.483000,0.1551456
723,7840.484000,0.161664
724,7840.485000,0.1684818
725,7840.486000,0.1737461
726,7840.487000,0.1772995
727,7840.488000,0.1799603
728,7840.489000,0.1812038
729,7840.490000,0.1823425
730,7840.491000,0.1834354
731,7840.492000,0.1833487
732,7840.493000,0.1823425
733,7840.494000,0.1806555
734,7840.495000,0.1781473
735,7840.496000,0.1748543
736,7840.497000,0.1707811
737,7840.498000,0.1698332
738,7840.499000,0.1724148
739,7840.500000,0.1676283
740,7840.501000,0.1556978
741,7840.502000,0.1499996
742,7840.503000,0.148901
743,7840.504000,0.1450453
744,7840.505000,0.1404886
745,7840.506000,0.136446
746,7840.507000,0.132081
747,7840.508000,0.127902
748,7840.509000,0.1239157
749,7840.510000,0.1190624
750,7840.511000,0.1133423
751,7840.512000,0.1071758
752,7840.513000,0.1003132
753,7840.514000,0.09352207
754,7840.515000,0.08686161
755,7840.516000,0.07973576
756,7840.517000,0.0723238
757,7840.518000,0.06557274
758,7840.519000,0.05951786
759,7840.520000,0.05384064
760,7840.521000,0.04880524
761,7840.522000,0.04372501
762,7840.523000,0.03859043
763,7840.524000,0.03398418
764,7840.525000,0.02977943
765,7840.526000,0.03013229
766,7840.527000,0.03556538
767,7840.528000,0.04406834
768,7840.529000,0.05689526
769,7840.530000,0.06229496
770,7840.531000,0.05923367
771,7840.532000,0.05444241
772,7840.533000,0.0447855
773,7840.534000,0.04162788
774,7840.535000,0.04619408
775,7840.536000,0.05034447
776,7840.537000,0.05698586
777,7840.538000,0.06035995
778,7840.539000,0.05929852
779,7840.540000,0.05989361
780,7840.541000,0.06061745
781,7840.542000,0.05500126
782,7840.543000,0.04316616
783,7840.544000,0.06590366
784,7840.545000,0.125596
785,7840.546000,0.002729416
786,7840.547000,0.09377003
787,7840.548000,0.07538414
788,7840.549000,0.07889271
789,7840.550000,0.0815115
790,7840.551000,0.08327007
791,7840.552000,0.08452034
792,7840.553000,0.08496094
793,7840.554000,0.08561802
794,7840.555000,0.0865202
795,7840.556000,0.08689594
796,7840.557000,0.08696175
797,7840.558000,0.085536
798,7840.559000,0.08240986
799,7840.560000,0.07827187
800,7840.561000,0.07274914
801,7840.562000,0.07281208
802,7840.563000,0.07915211
803,7840.564000,0.08814049
804,7840.565000,0.101738
805,7840.566000,0.08578968
806,7840.567000,0.0369091
807,7840.568000,0.0464325
808,7840.569000,0.1123304
809,7840.570000,0.1129856
810,7840.571000,0.06021118
811,7840.572000,0.02072811
812,7840.573000,-0.02609253
813,7840.574000,0.02055836
814,7840.575000,0.1785727
815,7840.576000,0.1752729
816,7840.577000,0.02015495
817,7840.578000,-0.001652718
818,7840.579000,0.0688858
819,7840.580000,0.07437325
820,7840.581000,0.05572891
821,7840.582000,0.05614376
822,7840.583000,0.05732632
823,7840.584000,0.05599213
824,7840.585000,0.05538082
825,7840.586000,0.05470657
826,7840.587000,0.05397224
827,7840.588000,0.05335712
828,7840.589000,0.05281067
829,7840.590000,0.05234432
830,7840.591000,0.05198002
831,7840.592000,0.05167961
832,7840.593000,0.05145454
833,7840.594000,0.05135155
834,7840.595000,0.05137253
835,7840.596000,0.05150223
836,7840.597000,0.05175877
837,7840.598000,0.05177116
838,7840.599000,0.05150509
839,7840.600000,0.05114651
840,7840.601000,0.05059242
841,7840.602000,0.0500536
842,7840.603000,0.04954433
843,7840.604000,0.04887009
844,7840.605000,0.04807377
845,7840.606000,0.04741955
846,7840.607000,0.04690361
847,7840.608000,0.04642487
848,7840.609000,0.04605198
849,7840.610000,0.04556751
850,7840.611000,0.04496574
851,7840.612000,0.04439831
852,7840.613000,0.04382515
853,7840.614000,0.0432682
854,7840.615000,0.04275036
855,7840.616000,0.04222202
856,7840.617000,0.04169846
857,7840.618000,0.04119587
858,7840.619000,0.04071617
859,7840.620000,0.04025459
860,7840.621000,0.03981781
861,7840.622000,0.03932953
862,7840.623000,0.03878498
863,7840.624000,0.03822327
864,7840.625000,0.03762913
865,7840.626000,0.0370388
866,7840.627000,0.03646278
867,7840.628000,0.03585911
868,7840.629000,0.03523827
869,7840.630000,0.03464794
870,7840.631000,0.03408813
871,7840.632000,0.0335474
872,7840.633000,0.03303623
873,7840.634000,0.03251362
874,7840.635000,0.03198338
875,7840.636000,0.03146839
876,7840.637000,0.03096867
877,7840.638000,0.03045559
878,7840.639000,0.02993965
879,7840.640000,0.02942085
880,7840.641000,0.02889919
881,7840.642000,0.02838802
882,7840.643000,0.02789021
883,7840.644000,0.02739525
884,7840.645000,0.02690315
885,7840.646000,0.02638817
886,7840.647000,0.02584457
887,7840.648000,0.02528858
888,7840.649000,0.02471352
889,7840.650000,0.02413082
890,7840.651000,0.0235424
891,7840.652000,0.02293491
892,7840.653000,0.02231121
893,7840.654000,0.02169418
894,7840.655000,0.02108288
895,7840.656000,0.02046871
896,7840.657000,0.01985741
897,7840.658000,0.01922989
898,7840.659000,0.01858711
899,7840.660000,0.01793766
900,7840.661000,0.01728439
901,7840.662000,0.01663303
902,7840.663000,0.01599026
903,7840.664000,0.01534462
904,7840.665000,0.01470089
905,7840.666000,0.01405716
906,7840.667000,0.01340961
907,7840.668000,0.01275826
908,7840.669000,0.01210594
909,7840.670000,0.01142883
910,7840.671000,0.01074028
911,7840.672000,0.01004696
912,7840.673000,0.009346962
913,7840.674000,0.008655548
914,7840.675000,0.007964134
915,7840.676000,0.007263184
916,7840.677000,0.006555557
917,7840.678000,0.005846977
918,7840.679000,0.005137444
919,7840.680000,0.004431725
920,7840.681000,0.003728867
921,7840.682000,0.003022194
922,7840.683000,0.002307892
923,7840.684000,0.001594543
924,7840.685000,8.831024E-4
925,7840.686000,1.659393E-4
926,7840.687000,-5.569458E-4
927,7840.688000,-0.001280785
928,7840.689000,-0.002005577
929,7840.690000,-0.002733231
930,7840.691000,-0.003460884
931,7840.692000,-0.004190445
932,7840.693000,-0.00492382
933,7840.694000,-0.005664825
934,7840.695000,-0.006411552
935,7840.696000,-0.007169724
936,7840.697000,-0.00793457
937,7840.698000,-0.008703232
938,7840.699000,-0.009474754
939,7840.700000,-0.01025391
940,7840.701000,-0.01103973
941,7840.702000,-0.01182652
942,7840.703000,-0.01261425
943,7840.704000,-0.01340675
944,7840.705000,-0.0141983
945,7840.706000,-0.01499939
946,7840.707000,-0.01580238
947,7840.708000,-0.01661205
948,7840.709000,-0.01742554
949,7840.710000,-0.0182848
950,7840.711000,-0.01918888
951,7840.712000,-0.02012157
952,7840.713000,-0.02109909
953,7840.714000,-0.02209187
954,7840.715000,-0.02310085
955,7840.716000,-0.02415085
956,7840.717000,-0.02523518
957,7840.718000,-0.02632713
