#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
771,7758.609000,-8.505501
772,7758.610000,-8.544218
773,7758.611000,-8.54724
774,7758.612000,-8.568041
775,7758.613000,-8.384228
776,7758.614000,-8.363564
777,7758.615000,-8.302526
778,7758.616000,-8.386691
779,7758.617000,-8.417736
780,7758.618000,-8.494806
781,7758.619000,-8.618892
782,7758.620000,-8.65495
783,7758.621000,-8.623255
784,7758.622000,-8.538696
785,7758.623000,-8.501455
786,7758.624000,-8.432204
787,7758.625000,-8.399612
788,7758.626000,-8.403858
789,7758.627000,-8.358986
790,7758.628000,-8.497069
791,7758.629000,-8.486138
792,7758.630000,-8.530756
793,7758.631000,-8.627995
794,7758.632000,-8.490005
795,7758.633000,-8.490968
796,7758.634000,-8.572664
797,7758.635000,-8.442985
798,7758.636000,-8.372301
799,7758.637000,-8.584159
800,7758.638000,-8.441973
801,7758.639000,-8.550591
802,7758.640000,-8.618629
803,7758.641000,-8.541247
804,7758.642000,-8.454726
805,7758.643000,-8.482368
806,7758.644000,-8.456834
807,7758.645000,-8.490842
808,7758.646000,-8.481176
809,7758.647000,-8.440195
810,7758.648000,-8.55547
811,7758.649000,-8.548409
812,7758.650000,-8.540814
813,7758.651000,-8.575936
814,7758.652000,-8.531758
815,7758.653000,-8.486761
816,7758.654000,-8.584007
817,7758.655000,-8.472136
818,7758.656000,-8.460991
819,7758.657000,-8.534674
820,7758.658000,-8.552755
821,7758.659000,-8.640704
822,7758.660000,-8.503083
823,7758.661000,-8.583625
824,7758.662000,-8.590026
825,7758.663000,-8.556469
826,7758.664000,-8.53001
827,7758.665000,-8.56008
828,7758.666000,-8.613239
829,7758.667000,-8.533451
830,7758.668000,-8.569505
831,7758.669000,-8.492976
832,7758.670000,-8.581004
833,7758.671000,-8.585975
834,7758.672000,-8.574059
835,7758.673000,-8.62159
836,7758.674000,-8.574576
837,7758.675000,-8.492385
838,7758.676000,-8.639456
839,7758.677000,-8.717884
840,7758.678000,-8.501882
841,7758.679000,-8.510692
842,7758.680000,-8.547513
843,7758.681000,-8.483168
