DATE,DEXTAUS
2010-08-02,31.7600
2010-08-03,31.7500
2010-08-04,31.7900
2010-08-05,31.7600
2010-08-06,31.7000
2010-08-09,31.6500
2010-08-10,31.7500
2010-08-11,31.8000
2010-08-12,31.9200
2010-08-13,31.9000
2010-08-16,31.9200
2010-08-17,31.8600
2010-08-18,31.8500
2010-08-19,31.8900
2010-08-20,31.9200
2010-08-23,31.9000
2010-08-24,31.9800
2010-08-25,32.0200
2010-08-26,32.0000
2010-08-27,31.9800
2010-08-30,32.0200
2010-08-31,32.0100
2010-09-01,31.9900
2010-09-02,31.9600
2010-09-03,31.8700
2010-09-06,.
2010-09-07,31.9400
2010-09-08,31.9000
2010-09-09,31.8400
2010-09-10,31.8200
2010-09-13,31.6800
2010-09-14,31.7200
2010-09-15,31.7200
2010-09-16,31.6600
2010-09-17,31.6500
2010-09-20,31.6300
2010-09-21,31.5800
2010-09-22,31.5200
2010-09-23,31.5400
2010-09-24,31.3400
2010-09-27,31.3500
2010-09-28,31.4100
2010-09-29,31.1500
2010-09-30,31.1900
2010-10-01,31.3000
2010-10-04,31.2400
2010-10-05,31.0600
2010-10-06,30.8600
2010-10-07,30.7400
2010-10-08,30.8400
2010-10-11,.
2010-10-12,30.9800
2010-10-13,30.8400
2010-10-14,30.6600
2010-10-15,30.6600
2010-10-18,30.7500
2010-10-19,30.8900
2010-10-20,30.8300
2010-10-21,30.7400
2010-10-22,30.8300
2010-10-25,30.4200
2010-10-26,30.6500
2010-10-27,30.7400
2010-10-28,30.6300
2010-10-29,30.6000
2010-11-01,30.5000
2010-11-02,30.4500
2010-11-03,30.4200
2010-11-04,30.1700
2010-11-05,30.1900
2010-11-08,30.1800
2010-11-09,30.1400
2010-11-10,30.1200
2010-11-11,.
2010-11-12,30.2200
2010-11-15,30.1900
2010-11-16,30.2500
2010-11-17,30.4400
2010-11-18,30.2700
2010-11-19,30.2700
2010-11-22,30.1500
2010-11-23,30.5100
2010-11-24,30.4400
2010-11-25,.
2010-11-26,30.4600
2010-11-29,30.5200
2010-11-30,30.4700
2010-12-01,30.3700
2010-12-02,30.3400
2010-12-03,30.2200
2010-12-06,30.1400
2010-12-07,30.0800
2010-12-08,30.1600
2010-12-09,30.1600
2010-12-10,30.1700
2010-12-13,30.0100
2010-12-14,29.8900
2010-12-15,29.8700
2010-12-16,29.8500
2010-12-17,29.9000
2010-12-20,29.9200
2010-12-21,29.8500
2010-12-22,29.8200
2010-12-23,29.8200
2010-12-24,.
2010-12-27,29.4800
2010-12-28,29.4600
2010-12-29,29.2800
2010-12-30,29.1400
2010-12-31,.
2011-01-03,29.0800
2011-01-04,29.1700
2011-01-05,29.1700
2011-01-06,29.2600
2011-01-07,29.3600
2011-01-10,29.2600
2011-01-11,29.1300
2011-01-12,29.1800
2011-01-13,28.9800
2011-01-14,29.0200
2011-01-17,.
2011-01-18,29.0200
2011-01-19,29.0200
2011-01-20,29.2400
2011-01-21,29.0800
2011-01-24,29.0500
2011-01-25,29.0200
2011-01-26,29.0600
2011-01-27,29.0300
2011-01-28,29.0500
2011-01-31,29.0300
2011-02-01,29.0200
2011-02-02,29.0200
2011-02-03,29.0300
2011-02-04,29.0300
2011-02-07,29.0300
2011-02-08,28.9000
2011-02-09,28.7800
2011-02-10,28.9300
2011-02-11,29.1700
2011-02-14,29.3500
2011-02-15,29.4300
2011-02-16,29.4300
2011-02-17,29.4200
2011-02-18,29.4000
2011-02-21,.
2011-02-22,29.5300
2011-02-23,29.5700
2011-02-24,29.7600
